mcc,mnc,lac,cell_id,short_cell_id,rnc,psc,asu,dbm,ta,lat,lon,accuracy,speed,bearing,altitude,measured_at,net_type,neighboring,discovered_at,device,rsrp,rsrq,rssi,rssnr,cqi,rscp,csi_rsrp,csi_rsrq,csi_sinr,ss_rsrp,ss_rsrq,ss_sinr,cdma_dbm,cdma_ecio,evdo_dbm,evdo_ecio,evdo_snr,ec_no,arfcn
230,2,1713,232441032,907972,200,400,4,-105,1282,49.837288333333,18.179455,5.9,0.22,0,300.9,2024-06-01T05:20:38.492Z,LTE,false,2024-06-01T05:16:03.749Z,Xiaomi 22071212AG,-115,-10,-105,4,,,,,,,,,,,,,,,100
230,2,1713,232441032,907972,200,400,4,-105,1282,49.83699,18.180201666667,8.3,0.47,77.37,300.3,2024-06-01T05:23:08.266Z,LTE,false,2024-06-01T05:16:03.749Z,Xiaomi 22071212AG,-118,-12,-105,5,,,,,,,,,,,,,,,100
230,2,1713,232441032,907972,200,400,4,-105,1282,49.837125,18.179555,6.5,0.19,0,300.1,2024-06-01T05:23:36.639Z,LTE,false,2024-06-01T05:16:03.749Z,Xiaomi 22071212AG,-112,-7,-105,7,,,,,,,,,,,,,,,100
230,2,1713,232440932,907972,100,141,3,-107,1282,49.837141666667,18.179313333333,6.7,0.54,299.55,300.1,2024-06-01T05:25:08.594Z,LTE,false,2024-06-01T05:17:28.589Z,Xiaomi 22071212AG,-116,-10,-107,-2,,,,,,,,,,,,,,,1404
230,2,1713,232441032,907972,200,400,2,-109,1282,49.83742,18.179321666667,8.7,0.41,329.32,300.1,2024-06-01T05:27:58.627Z,LTE,false,2024-06-01T05:16:03.749Z,Xiaomi 22071212AG,-119,-11,-109,3,,,,,,,,,,,,,,,100
230,2,1713,232440657,907971,81,465,11,-91,1282,49.837346666667,18.179395,4.6,0.07,0,294.9,2024-06-01T06:12:05.139Z,LTE,false,2024-06-01T06:12:05.139Z,Xiaomi 22071212AG,-99,-8,-91,5,,,,,,,,,,,,,,,6300
230,2,1713,232440932,907972,100,141,4,-105,1282,49.837346666667,18.179395,4.6,0.07,0,294.9,2024-06-01T06:23:05.241Z,LTE,false,2024-06-01T05:17:28.589Z,Xiaomi 22071212AG,-113,-9,-105,,,,,,,,,,,,,,,,1404
230,2,1713,233679796,912811,180,448,3,-107,1282,49.837256666667,18.179246666667,29.7,0,0,294.8,2024-06-01T06:23:49.972Z,LTE,false,2024-06-01T05:18:18.639Z,Xiaomi 22071212AG,-118,-10,-107,,,,,,,,,,,,,,,,9260
230,2,1713,232440657,907971,81,465,2,-109,1282,49.837256666667,18.179246666667,29.7,0,0,294.8,2024-06-01T06:24:00.024Z,LTE,false,2024-06-01T06:12:05.139Z,Xiaomi 22071212AG,-117,-9,-109,8,,,,,,,,,,,,,,,6300
230,2,1713,232440932,907972,100,141,5,-103,1282,49.837256666667,18.179246666667,29.7,0,0,294.8,2024-06-01T06:25:09.954Z,LTE,false,2024-06-01T05:17:28.589Z,Xiaomi 22071212AG,-112,-9,-103,,,,,,,,,,,,,,,,1404
230,2,1713,232441032,907972,200,400,2,-109,1282,49.837368333333,18.179346666667,6.7,0.43,142.63,286.8,2024-06-01T06:26:47.739Z,LTE,false,2024-06-01T05:16:03.749Z,Xiaomi 22071212AG,-120,-11,-109,,,,,,,,,,,,,,,,100
230,2,1713,233679696,912811,80,212,10,-93,4,49.837358333333,18.179535,5.8,0.22,0,286.9,2024-06-01T06:32:33.321Z,LTE,false,2024-06-01T05:16:58.511Z,Xiaomi 22071212AG,-103,-11,-93,,,,,,,,,,,,,,,,6300
230,2,1713,232440656,907971,80,479,10,-93,7,49.837353333333,18.17947,5.7,0.5,282.37,286.9,2024-06-01T06:32:44.662Z,LTE,false,2024-06-01T05:16:48.481Z,Xiaomi 22071212AG,-104,-12,-93,,,,,,,,,,,,,,,,6300
230,2,1713,232440932,907972,100,141,6,-101,1282,49.837353333333,18.17947,5.7,0.5,282.37,286.9,2024-06-01T06:32:59.960Z,LTE,false,2024-06-01T05:17:28.589Z,Xiaomi 22071212AG,-113,-13,-101,4,,,,,,,,,,,,,,,1404
230,2,1713,232441032,907972,200,400,3,-107,1282,49.837295,18.179415,5.4,0.16,0,286.7,2024-06-01T06:34:19.543Z,LTE,false,2024-06-01T05:16:03.749Z,Xiaomi 22071212AG,-118,-11,-107,,,,,,,,,,,,,,,,100
230,2,1713,232440657,907971,81,465,10,-93,7,49.83728,18.179318333333,5.7,0.69,76.26,286.2,2024-06-01T06:41:30.734Z,LTE,false,2024-06-01T06:12:05.139Z,Xiaomi 22071212AG,-103,-11,-93,4,,,,,,,,,,,,,,,6300
230,2,1713,232441032,907972,200,400,5,-103,1282,49.837263333333,18.179423333333,6.5,0.52,334.05,282.4,2024-06-14T05:32:28.978Z,LTE,false,2024-06-01T05:16:03.749Z,Xiaomi 22071212AG,-115,-12,-103,7,,,,,,,,,,,,,,,100
230,2,1713,232441032,907972,200,400,4,-105,1282,49.852191666667,18.18024,8.3,19.32,3.24,282.3,2024-06-14T05:36:26.465Z,LTE,false,2024-06-01T05:16:03.749Z,Xiaomi 22071212AG,-116,-12,-105,4,,,,,,,,,,,,,,,100
230,2,1713,232441032,907972,200,400,3,-107,1282,49.837081666667,18.179126666667,5.3,12.25,178.66,257.9,2024-06-14T05:36:43.943Z,LTE,false,2024-06-01T05:16:03.749Z,Xiaomi 22071212AG,-116,-10,-107,6,,,,,,,,,,,,,,,100
230,2,1713,232441032,907972,200,400,3,-107,1282,49.837896666667,18.179515,10,9.89,231.8,283,2024-06-14T05:37:13.231Z,LTE,false,2024-06-01T05:16:03.749Z,Xiaomi 22071212AG,-117,-11,-107,7,,,,,,,,,,,,,,,100
230,2,1713,232440932,907972,100,141,6,-101,1282,49.837896666667,18.179515,10,9.89,231.8,283,2024-06-14T05:37:26.368Z,LTE,false,2024-06-01T05:17:28.589Z,Xiaomi 22071212AG,-115,-14,-101,6,,,,,,,,,,,,,,,1404
230,2,1713,232440933,907972,101,398,3,-107,1282,49.837896666667,18.179515,10,9.89,231.8,283,2024-06-14T05:37:46.393Z,LTE,false,2024-06-14T05:37:46.393Z,Xiaomi 22071212AG,-118,-11,-107,,,,,,,,,,,,,,,,1404
230,2,1713,232440657,907971,81,465,9,-95,1282,49.837896666667,18.179515,10,9.89,231.8,283,2024-06-14T05:38:36.395Z,LTE,false,2024-06-01T06:12:05.139Z,Xiaomi 22071212AG,-105,-10,-95,,,,,,,,,,,,,,,,6300
230,2,1713,232440932,907972,100,141,2,-109,1282,49.837896666667,18.179515,10,9.89,231.8,283,2024-06-14T05:39:16.400Z,LTE,false,2024-06-01T05:17:28.589Z,Xiaomi 22071212AG,-122,-13,-109,6,,,,,,,,,,,,,,,1404
230,2,1713,233679696,912811,80,212,8,-97,1282,49.837896666667,18.179515,10,9.89,231.8,283,2024-06-14T05:39:46.406Z,LTE,false,2024-06-01T05:16:58.511Z,Xiaomi 22071212AG,-105,-9,-97,,,,,,,,,,,,,,,,6300
230,2,1713,233679696,912811,80,212,9,-95,1282,49.837086666667,18.179056666667,5.6,0.83,261.12,283,2024-06-14T05:40:08.002Z,LTE,false,2024-06-01T05:16:58.511Z,Xiaomi 22071212AG,-102,-7,-95,,,,,,,,,,,,,,,,6300
230,2,1713,232441032,907972,200,400,11,-91,1282,49.837133333333,18.17934,5.8,0,0,282.9,2024-06-14T05:40:31.919Z,LTE,false,2024-06-01T05:16:03.749Z,Xiaomi 22071212AG,-105,-15,-91,,,,,,,,,,,,,,,,100
230,2,1713,232441032,907972,200,400,9,-95,1282,49.83751,18.179623333333,1.8,1.75,357,291.9,2024-06-14T05:42:21.006Z,LTE,false,2024-06-01T05:16:03.749Z,Xiaomi 22071212AG,-107,-13,-95,,,,,,,,,,,,,,,,100
230,2,1713,232441032,907972,200,400,6,-101,1282,49.837511666667,18.178808333333,2,2.25,274.47,288.7,2024-06-14T05:42:39.014Z,LTE,false,2024-06-01T05:16:03.749Z,Xiaomi 22071212AG,-113,-11,-101,,,,,,,,,,,,,,,,100
230,2,1713,232441032,907972,200,400,6,-101,1282,49.837443333333,18.17818,2.1,4.86,265.1,286.7,2024-06-14T05:42:48.034Z,LTE,false,2024-06-01T05:16:03.749Z,Xiaomi 22071212AG,-113,-11,-101,,,,,,,,,,,,,,,,100
230,2,1713,231440072,904062,200,193,11,-91,8,49.837293333333,18.177726666667,2,4.29,182.68,289.8,2024-06-14T05:43:01.896Z,LTE,false,2024-06-14T05:43:01.896Z,Xiaomi 22071212AG,-104,-13,-91,,,,,,,,,,,,,,,,100
230,2,1713,231440072,904062,200,193,11,-91,8,49.836758333333,18.177728333333,2.4,6.6,178.38,293.6,2024-06-14T05:43:06.008Z,LTE,false,2024-06-14T05:43:01.896Z,Xiaomi 22071212AG,-104,-13,-91,,,,,,,,,,,,,,,,100
230,2,1713,231440072,904062,200,193,7,-99,8,49.836308333333,18.17777,2.3,0,193.58,289.2,2024-06-14T05:43:21.032Z,LTE,false,2024-06-14T05:43:01.896Z,Xiaomi 22071212AG,-117,-18,-99,,,,,,,,,,,,,,,,100
230,2,1713,233680072,912812,200,111,7,-99,4,49.836308333333,18.17777,2.3,0,193.58,289.2,2024-06-14T05:43:21.928Z,LTE,false,2024-06-14T05:43:21.928Z,Xiaomi 22071212AG,-109,-11,-99,,,,,,,,,,,,,,,,100
230,2,1713,233680072,912812,200,111,7,-99,4,49.83618,18.176941666667,2.3,8.9,252.4,285.9,2024-06-14T05:43:40.003Z,LTE,false,2024-06-14T05:43:21.928Z,Xiaomi 22071212AG,-109,-11,-99,,,,,,,,,,,,,,,,100
230,2,1713,233680072,912812,200,111,5,-103,1282,49.835958333333,18.176106666667,2.1,8.87,265.69,281.1,2024-06-14T05:43:47.013Z,LTE,false,2024-06-14T05:43:21.928Z,Xiaomi 22071212AG,-114,-12,-103,,,,,,,,,,,,,,,,100
230,2,1713,231440072,904062,200,193,0,-113,6,49.835958333333,18.176106666667,2.1,8.87,265.69,281.1,2024-06-14T05:43:51.858Z,LTE,false,2024-06-14T05:43:01.896Z,Xiaomi 22071212AG,-44,-3,-113,,,,,,,,,,,,,,,,100
230,2,1713,231440072,904062,200,193,0,-113,6,49.836215,18.174833333333,2.4,9.59,294.22,280.6,2024-06-14T05:43:58.985Z,LTE,false,2024-06-14T05:43:01.896Z,Xiaomi 22071212AG,-44,-3,-113,,,,,,,,,,,,,,,,100
230,2,1713,231440072,904062,200,193,12,-89,5,49.836486666667,18.173603333333,2,9.29,291.45,289.5,2024-06-14T05:44:19.996Z,LTE,false,2024-06-14T05:43:01.896Z,Xiaomi 22071212AG,-98,-9,-89,,,,,,,,,,,,,,,,100
230,2,1713,231439796,904061,180,412,15,-83,4,49.836518333333,18.173491666667,2,9.63,292.47,289.4,2024-06-14T05:44:21.924Z,LTE,false,2024-06-14T05:44:21.924Z,Xiaomi 22071212AG,-93,-10,-83,,,,,,,,,,,,,,,,9260
230,2,1713,231439796,904061,180,412,15,-83,4,49.836693333333,18.172791666667,2.5,10.8,290.42,289.4,2024-06-14T05:44:26.036Z,LTE,false,2024-06-14T05:44:21.924Z,Xiaomi 22071212AG,-93,-10,-83,,,,,,,,,,,,,,,,9260
230,2,1713,231439796,904061,180,412,15,-83,4,49.83693,18.17197,2.5,10.93,290.96,290.4,2024-06-14T05:44:32.021Z,LTE,false,2024-06-14T05:44:21.924Z,Xiaomi 22071212AG,-93,-10,-83,,,,,,,,,,,,,,,,9260
230,2,1713,231439796,904061,180,412,15,-83,4,49.837106666667,18.171283333333,2.6,10.5,292.59,291.4,2024-06-14T05:44:37.024Z,LTE,false,2024-06-14T05:44:21.924Z,Xiaomi 22071212AG,-93,-10,-83,,,,,,,,,,,,,,,,9260
230,2,1713,231440072,904062,200,193,17,-79,1,49.837106666667,18.171283333333,2.6,10.5,292.59,291.4,2024-06-14T05:44:41.864Z,LTE,false,2024-06-14T05:43:01.896Z,Xiaomi 22071212AG,-86,-8,-79,,,,,,,,,,,,,,,,100
230,2,1713,231440072,904062,200,193,17,-79,1,49.837285,18.170563333333,2.6,11.19,290.56,294,2024-06-14T05:44:42.018Z,LTE,false,2024-06-14T05:43:01.896Z,Xiaomi 22071212AG,-86,-8,-79,,,,,,,,,,,,,,,,100
230,2,1713,231440072,904062,200,193,17,-79,1,49.837441666667,18.169823333333,2.5,11.46,291.61,295.3,2024-06-14T05:44:47.025Z,LTE,false,2024-06-14T05:43:01.896Z,Xiaomi 22071212AG,-86,-8,-79,,,,,,,,,,,,,,,,100
230,2,1713,231439798,904061,182,443,18,-77,1,49.837441666667,18.169823333333,2.5,11.46,291.61,295.3,2024-06-14T05:44:51.909Z,LTE,false,2024-06-14T05:44:51.909Z,Xiaomi 22071212AG,-87,-12,-77,,,,,,,,,,,,,,,,9260
230,2,1713,231439798,904061,182,443,18,-77,1,49.83764,18.169151666667,2.5,10.06,290.29,295.7,2024-06-14T05:44:52.011Z,LTE,false,2024-06-14T05:44:51.909Z,Xiaomi 22071212AG,-87,-12,-77,,,,,,,,,,,,,,,,9260
230,2,1713,231439798,904061,182,443,18,-77,1,49.837801666667,18.168543333333,2.2,5,308.85,293.9,2024-06-14T05:44:58.005Z,LTE,false,2024-06-14T05:44:51.909Z,Xiaomi 22071212AG,-87,-12,-77,,,,,,,,,,,,,,,,9260
230,2,1713,231440074,904062,202,303,20,-73,1282,49.837648333333,18.168176666667,2,1.83,170.24,295,2024-06-14T05:45:11.880Z,LTE,false,2024-06-14T05:45:11.880Z,Xiaomi 22071212AG,-81,-8,-73,,,,,,,,,,,,,,,,100
230,2,1713,231440074,904062,202,303,20,-73,1282,49.837068333333,18.167878333333,2.2,9.05,202.27,291.9,2024-06-14T05:45:27.007Z,LTE,false,2024-06-14T05:45:11.880Z,Xiaomi 22071212AG,-81,-8,-73,,,,,,,,,,,,,,,,100
230,2,1713,231440073,904062,201,41,12,-89,1282,49.836985,18.167831666667,2.1,9.71,200.52,292.2,2024-06-14T05:45:31.952Z,LTE,false,2024-06-14T05:45:31.952Z,Xiaomi 22071212AG,-95,-7,-89,,,,,,,,,,,,,,,,100
230,2,1713,231440073,904062,201,41,12,-89,1282,49.836378333333,18.167511666667,2.3,10,200.72,294.5,2024-06-14T05:45:35.074Z,LTE,false,2024-06-14T05:45:31.952Z,Xiaomi 22071212AG,-95,-7,-89,,,,,,,,,,,,,,,,100
230,2,1713,231440073,904062,201,41,12,-89,1282,49.835945,18.167233333333,2.5,7.2,202.02,297.3,2024-06-14T05:45:41.056Z,LTE,false,2024-06-14T05:45:31.952Z,Xiaomi 22071212AG,-95,-7,-89,,,,,,,,,,,,,,,,100
230,2,1713,233992118,914031,182,323,15,-83,6,49.835638333333,18.167025,2.2,3.42,201.78,301.7,2024-06-14T05:45:51.944Z,LTE,false,2024-06-14T05:45:51.944Z,Xiaomi 22071212AG,-96,-13,-83,,,,,,,,,,,,,,,,9260
230,2,1713,231898312,905852,200,146,0,-113,8,49.835543333333,18.166981666667,2.2,1.24,197.26,303.8,2024-06-14T05:46:01.871Z,LTE,false,2024-06-14T05:46:01.871Z,Xiaomi 22071212AG,-44,-3,-113,,,,,,,,,,,,,,,,100
230,2,1713,231898312,905852,200,146,10,-93,1282,49.83566,18.167755,5.8,0,0,299.5,2024-06-14T05:46:51.287Z,LTE,false,2024-06-14T05:46:01.871Z,Xiaomi 22071212AG,-105,-12,-93,,,,,,,,,,,,,,,,100
230,2,1713,233992394,914032,202,267,13,-87,6,49.83566,18.167755,5.8,0,0,299.5,2024-06-14T05:47:01.813Z,LTE,false,2024-06-14T05:47:01.813Z,Xiaomi 22071212AG,-98,-11,-87,,,,,,,,,,,,,,,,100
230,2,1713,233992394,914032,202,267,12,-89,5,49.834426666667,18.166226666667,10.7,0,0,146.6,2024-06-14T05:47:27.920Z,LTE,false,2024-06-14T05:47:01.813Z,Xiaomi 22071212AG,-97,-8,-89,,,,,,,,,,,,,,,,100
230,2,1713,233992394,914032,202,267,12,-89,5,49.83346,18.165838333333,5.3,0.01,279.16,148,2024-06-14T05:47:41.047Z,LTE,false,2024-06-14T05:47:01.813Z,Xiaomi 22071212AG,-98,-9,-89,,,,,,,,,,,,,,,,100
230,2,1713,233992294,914032,102,111,0,-113,5,49.83346,18.165838333333,5.3,0.01,279.16,148,2024-06-14T05:47:51.904Z,LTE,false,2024-06-14T05:47:51.904Z,Xiaomi 22071212AG,-44,-3,-113,,,,,,,,,,,,,,,,1404
230,2,1713,233992294,914032,102,111,0,-113,5,49.833636666667,18.166475,5.8,0.01,38.65,148,2024-06-14T05:48:03.107Z,LTE,false,2024-06-14T05:47:51.904Z,Xiaomi 22071212AG,-44,-3,-113,,,,,,,,,,,,,,,,1404
230,2,1713,233992394,914032,202,267,14,-85,4,49.83368,18.166808333333,6,0.34,206,158.1,2024-06-14T05:48:37.070Z,LTE,false,2024-06-14T05:47:01.813Z,Xiaomi 22071212AG,-90,-5,-85,,,,,,,,,,,,,,,,100
230,2,1713,233992394,914032,202,267,14,-85,4,49.832475,18.165023333333,4.4,0.55,153.35,286.2,2024-06-14T05:48:52.552Z,LTE,false,2024-06-14T05:47:01.813Z,Xiaomi 22071212AG,-90,-5,-85,,,,,,,,,,,,,,,,100
230,2,1713,233992294,914032,102,111,10,-93,1282,49.832478333333,18.165021666667,6.9,0,0,286.2,2024-06-14T05:49:05.912Z,LTE,false,2024-06-14T05:47:51.904Z,Xiaomi 22071212AG,-101,-9,-93,,,,,,,,,,,,,,,,1404
230,2,1713,233992294,914032,102,111,11,-91,1282,49.832188333333,18.1656,13.4,3.61,98.49,286.1,2024-06-14T05:50:09.049Z,LTE,false,2024-06-14T05:47:51.904Z,Xiaomi 22071212AG,-104,-13,-91,,,,,,,,,,,,,,,,1404
230,2,1713,233992393,914032,201,149,12,-89,4,49.832188333333,18.1656,13.4,3.61,98.49,286.1,2024-06-14T05:50:09.354Z,LTE,false,2024-06-14T05:50:09.354Z,Xiaomi 22071212AG,-99,-10,-89,,,,,,,,,,,,,,,,100
230,2,1713,233992393,914032,201,149,12,-89,4,49.82931,18.169236666667,5,3.97,103.34,286,2024-06-14T05:50:22.528Z,LTE,false,2024-06-14T05:50:09.354Z,Xiaomi 22071212AG,-99,-10,-89,,,,,,,,,,,,,,,,100
230,2,1713,233992293,914032,101,236,13,-87,6,49.82931,18.169236666667,5,3.97,103.34,286,2024-06-14T05:50:35.310Z,LTE,false,2024-06-14T05:50:35.310Z,Xiaomi 22071212AG,-107,-20,-87,,,,,,,,,,,,,,,,1404
230,2,1713,233992293,914032,101,236,13,-87,6,49.82915,18.17078,5.8,2.17,73.91,285.5,2024-06-14T05:50:38.022Z,LTE,false,2024-06-14T05:50:35.310Z,Xiaomi 22071212AG,-107,-20,-87,,,,,,,,,,,,,,,,1404
230,2,1713,234483914,915952,202,503,12,-89,6,49.829208333333,18.170765,6.2,0,281.94,287.5,2024-06-14T05:51:02.564Z,LTE,false,2024-06-14T05:51:02.564Z,Xiaomi 22071212AG,-98,-10,-89,,,,,,,,,,,,,,,,100
230,2,1713,234483914,915952,202,503,15,-83,1282,49.829333333333,18.172161666667,6.3,0,0,270.7,2024-06-14T05:51:29.078Z,LTE,false,2024-06-14T05:51:02.564Z,Xiaomi 22071212AG,-90,-7,-83,,,,,,,,,,,,,,,,100
230,2,1713,234483914,915952,202,503,15,-83,1282,49.829758333333,18.172685,5.9,0,0,268.5,2024-06-14T05:51:41.910Z,LTE,false,2024-06-14T05:51:02.564Z,Xiaomi 22071212AG,-90,-7,-83,,,,,,,,,,,,,,,,100
230,2,1713,234483914,915952,202,503,15,-83,1282,49.830226666667,18.17369,5.2,1.76,39.32,240.4,2024-06-14T05:51:55.080Z,LTE,false,2024-06-14T05:51:02.564Z,Xiaomi 22071212AG,-90,-7,-83,,,,,,,,,,,,,,,,100
230,2,1713,234299592,915232,200,439,23,-67,1282,49.830226666667,18.17369,5.2,1.76,39.32,240.4,2024-06-14T05:52:06.100Z,LTE,false,2024-06-14T05:52:06.100Z,Xiaomi 22071212AG,-82,-17,-67,,,,,,,,,,,,,,,,100
230,2,1713,234299592,915232,200,439,23,-67,1282,49.831886666667,18.1751,13.3,0,0,234.9,2024-06-14T05:52:22.028Z,LTE,false,2024-06-14T05:52:06.100Z,Xiaomi 22071212AG,-82,-17,-67,,,,,,,,,,,,,,,,100
230,2,1713,234299316,915231,180,355,18,-77,1282,49.831886666667,18.1751,13.3,0,0,234.9,2024-06-14T05:52:33.299Z,LTE,false,2024-06-14T05:52:33.299Z,Xiaomi 22071212AG,-87,-9,-77,,,,,,,,,,,,,,,,9260
230,2,1713,234299592,915232,200,439,12,-89,1282,49.832105,18.175391666667,6.3,0,0,235.4,2024-06-14T05:52:53.244Z,LTE,false,2024-06-14T05:52:06.100Z,Xiaomi 22071212AG,-101,-11,-89,,,,,,,,,,,,,,,,100
230,2,1713,234299592,915232,200,439,12,-89,1282,49.833926666667,18.177025,8.1,10.81,17.37,238,2024-06-14T05:53:19.083Z,LTE,false,2024-06-14T05:52:06.100Z,Xiaomi 22071212AG,-101,-11,-89,,,,,,,,,,,,,,,,100
230,2,1713,233992292,914032,100,1,6,-101,11,49.833926666667,18.177025,8.1,10.81,17.37,238,2024-06-14T05:53:22.592Z,LTE,false,2024-06-14T05:53:22.592Z,Xiaomi 22071212AG,-116,-16,-101,,,,,,,,,,,,,,,,1404
230,2,1713,233992292,914032,100,1,6,-101,11,49.834948333333,18.177055,6,11.82,19.96,238.2,2024-06-14T05:53:23.093Z,LTE,false,2024-06-14T05:53:22.592Z,Xiaomi 22071212AG,-116,-16,-101,,,,,,,,,,,,,,,,1404
230,2,1713,233992292,914032,100,1,6,-101,11,49.835566666667,18.177808333333,2.9,10.84,21.57,239,2024-06-14T05:53:29.056Z,LTE,false,2024-06-14T05:53:22.592Z,Xiaomi 22071212AG,-116,-16,-101,,,,,,,,,,,,,,,,1404
230,2,1713,233679972,912812,100,469,11,-91,4,49.835566666667,18.177808333333,2.9,10.84,21.57,239,2024-06-14T05:53:32.605Z,LTE,false,2024-06-14T05:53:32.605Z,Xiaomi 22071212AG,-98,-8,-91,,,,,,,,,,,,,,,,1404
230,2,1713,233679972,912812,100,469,11,-91,4,49.83605,18.178255,2.1,0.04,67.88,240,2024-06-14T05:53:42.047Z,LTE,false,2024-06-14T05:53:32.605Z,Xiaomi 22071212AG,-98,-8,-91,,,,,,,,,,,,,,,,1404
230,2,1713,233680072,912812,200,111,11,-91,1282,49.83605,18.178255,2.1,0.04,67.88,240,2024-06-14T05:53:42.653Z,LTE,false,2024-06-14T05:43:21.928Z,Xiaomi 22071212AG,-98,-8,-91,,,,,,,,,,,,,,,,100
230,2,1713,233680072,912812,200,111,0,-113,2,49.836245,18.181638333333,5.4,11.4,103.09,269.7,2024-06-14T05:54:09.019Z,LTE,false,2024-06-14T05:43:21.928Z,Xiaomi 22071212AG,-44,-3,-113,,,,,,,,,,,,,,,,100
230,2,1713,233680072,912812,200,111,0,-113,2,49.836123333333,18.182405,2.7,9.97,103.61,285.9,2024-06-14T05:54:14.041Z,LTE,false,2024-06-14T05:43:21.928Z,Xiaomi 22071212AG,-44,-3,-113,,,,,,,,,,,,,,,,100
230,2,1713,233680072,912812,200,111,16,-81,2,49.836145,18.183083333333,2.3,6.89,61.29,277.4,2024-06-14T05:54:20.051Z,LTE,false,2024-06-14T05:43:21.928Z,Xiaomi 22071212AG,-93,-12,-81,,,,,,,,,,,,,,,,100
230,2,1713,233680072,912812,200,111,16,-81,2,49.836635,18.183601666667,2.3,10.38,30.49,278.7,2024-06-14T05:54:27.050Z,LTE,false,2024-06-14T05:43:21.928Z,Xiaomi 22071212AG,-93,-12,-81,,,,,,,,,,,,,,,,100
230,2,1713,233680072,912812,200,111,18,-77,1282,49.83733,18.184288333333,2.3,9.36,30.7,276.7,2024-06-14T05:54:36.064Z,LTE,false,2024-06-14T05:43:21.928Z,Xiaomi 22071212AG,-92,-16,-77,,,,,,,,,,,,,,,,100
230,2,1713,233680072,912812,200,111,18,-77,1282,49.837986666667,18.183843333333,2.2,9.02,302.05,269.6,2024-06-14T05:54:48.066Z,LTE,false,2024-06-14T05:43:21.928Z,Xiaomi 22071212AG,-92,-16,-77,,,,,,,,,,,,,,,,100
230,2,1713,232441032,907972,200,400,6,-101,9,49.837986666667,18.183843333333,2.2,9.02,302.05,269.6,2024-06-14T05:54:48.660Z,LTE,false,2024-06-01T05:16:03.749Z,Xiaomi 22071212AG,-110,-9,-101,,,,,,,,,,,,,,,,100
